receiver,illuminator,target,rho,trial,m_rx,axis
3,14,2,0.9363493553298469,0,8,0
3,14,3,0.321968751515066,0,8,0
3,14,4,0.9355467345813762,0,8,0
3,14,5,0.9884944252965759,0,8,0
3,14,6,0.1802265405429906,0,8,0
3,14,7,0.7850001607638202,0,8,0
3,14,8,0.3696675120530467,0,8,0
3,14,9,0.9557929808347156,0,8,0
4,0,0,0.747052370966375,0,8,0
4,0,1,0.9904438546456568,0,8,0
4,0,2,0.29806136884576206,0,8,0
4,0,3,0.9207088934621588,0,8,0
4,0,4,0.9636093096489313,0,8,0
4,0,5,0.9963927081573561,0,8,0
4,0,6,0.8655370939966742,0,8,0
4,0,7,0.966870382954276,0,8,0
4,0,8,0.3523311650227259,0,8,0
4,0,9,0.835458295223125,0,8,0
4,1,0,0.9710052179143501,0,8,0
4,1,1,0.9979082863263532,0,8,0
4,1,2,0.3808717850372818,0,8,0
4,1,3,0.28885256697957895,0,8,0
4,1,4,0.9391318384873609,0,8,0
4,1,5,0.9705549340337657,0,8,0
4,1,6,0.3105517845242951,0,8,0
4,1,7,0.9963109543472444,0,8,0
4,1,8,0.9666004206932972,0,8,0
4,1,9,0.2627729917810484,0,8,0
4,2,0,0.9120902650013796,0,8,0
4,2,1,0.9539958247944602,0,8,0
4,2,2,0.901226299783204,0,8,0
4,2,3,0.9407542707926378,0,8,0
4,2,4,0.9195386736503917,0,8,0
4,2,5,0.986374270703763,0,8,0
4,2,6,0.8398898609355655,0,8,0
4,2,7,0.9348859959995656,0,8,0
4,2,8,0.4472047186974658,0,8,0
4,2,9,0.9968014445762823,0,8,0
4,3,0,0.8104603863987173,0,8,0
4,3,1,0.9167858880749158,0,8,0
4,3,2,0.8009124960050622,0,8,0
4,3,3,0.3489386716652316,0,8,0
4,3,4,0.6827655744770994,0,8,0
4,3,5,0.9933799211469224,0,8,0
4,3,6,0.43567229331472,0,8,0
4,3,7,0.5654907811111572,0,8,0
4,3,8,0.49981827125706246,0,8,0
4,3,9,0.8525775761172375,0,8,0
4,5,0,0.5541210319824361,0,8,0
4,5,1,0.9136123957474431,0,8,0
4,5,2,0.10196378962017016,0,8,0
4,5,3,0.13964046436459365,0,8,0
4,5,4,0.8933107862845947,0,8,0
4,5,5,0.9922340669389496,0,8,0
4,5,6,0.35355768126948495,0,8,0
4,5,7,0.9815969275344626,0,8,0
4,5,8,0.7100394375439689,0,8,0
4,5,9,0.7212608161713241,0,8,0
4,6,0,0.9094062442911721,0,8,0
4,6,1,0.9369424246481401,0,8,0
4,6,2,0.9779939247828406,0,8,0
4,6,3,0.8138897279216593,0,8,0
4,6,4,0.9811956204475891,0,8,0
4,6,5,0.9969643824291103,0,8,0
4,6,6,0.19440237724752607,0,8,0
4,6,7,0.7514473021598661,0,8,0
4,6,8,0.15260481676163085,0,8,0
4,6,9,0.5866328447917115,0,8,0
4,7,0,0.87278292991151,0,8,0
4,7,1,0.995242910712324,0,8,0
4,7,2,0.06661755258261459,0,8,0
4,7,3,0.5641410208279631,0,8,0
4,7,4,0.6324885929324674,0,8,0
4,7,5,0.9753847951314182,0,8,0
4,7,6,0.8314094774347913,0,8,0
4,7,7,0.5861115265863064,0,8,0
4,7,8,0.9671530807817164,0,8,0
4,7,9,0.9980630142127455,0,8,0
4,8,0,0.8907839689001611,0,8,0
4,8,1,0.9207565216525442,0,8,0
4,8,2,0.975335872513165,0,8,0
4,8,3,0.9355515417282805,0,8,0
4,8,4,0.8964472040953749,0,8,0
4,8,5,0.9893855322195999,0,8,0
4,8,6,0.6183310839692644,0,8,0
4,8,7,0.9659673441364481,0,8,0
4,8,8,0.616256631642544,0,8,0
4,8,9,0.9956236761375847,0,8,0
4,9,0,0.2992607022942183,0,8,0
4,9,1,0.995701627344317,0,8,0
4,9,2,0.08078685818857467,0,8,0
4,9,3,0.9590139989772266,0,8,0
4,9,4,0.9640824644912491,0,8,0
